cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the im wcl selected dataset.
------------------ Start to select subsets ------------------
Select 10000 samples
Load selected sample idx
Selected 10000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [=================>...............................................] 12/40   Step: 959ms | Tot: 10s887ms | Loss: 0.048 | Acc: 99.121% (3045/3072)              
 [===================>.............................................] 13/40   Step: 1s96ms | Tot: 11s984ms | Loss: 0.048 | Acc: 99.129% (3299/3328)              
 [=====================>...........................................] 14/40   Step: 972ms | Tot: 12s956ms | Loss: 0.050 | Acc: 99.107% (3552/3584)              
 [======================>..........................................] 15/40   Step: 956ms | Tot: 13s913ms | Loss: 0.050 | Acc: 99.089% (3805/3840)              
 [========================>........................................] 16/40   Step: 962ms | Tot: 14s876ms | Loss: 0.049 | Acc: 99.097% (4059/4096)              
 [==========================>......................................] 17/40   Step: 957ms | Tot: 15s833ms | Loss: 0.048 | Acc: 99.127% (4314/4352)              
 [===========================>.....................................] 18/40   Step: 1s77ms | Tot: 16s910ms | Loss: 0.048 | Acc: 99.132% (4568/4608)              
 [=============================>...................................] 19/40   Step: 958ms | Tot: 17s869ms | Loss: 0.048 | Acc: 99.178% (4824/4864)              
 [==============================>..................................] 20/40   Step: 959ms | Tot: 18s829ms | Loss: 0.048 | Acc: 99.121% (5075/5120)              
 [================================>................................] 21/40   Step: 959ms | Tot: 19s788ms | Loss: 0.048 | Acc: 99.126% (5329/5376)              
 [==================================>..............................] 22/40   Step: 1s70ms | Tot: 20s859ms | Loss: 0.048 | Acc: 99.130% (5583/5632)              
 [===================================>.............................] 23/40   Step: 953ms | Tot: 21s812ms | Loss: 0.048 | Acc: 99.151% (5838/5888)              
 [=====================================>...........................] 24/40   Step: 975ms | Tot: 22s788ms | Loss: 0.047 | Acc: 99.154% (6092/6144)              
 [=======================================>.........................] 25/40   Step: 954ms | Tot: 23s743ms | Loss: 0.047 | Acc: 99.172% (6347/6400)              
 [========================================>........................] 26/40   Step: 955ms | Tot: 24s699ms | Loss: 0.047 | Acc: 99.189% (6602/6656)              
 [==========================================>......................] 27/40   Step: 1s67ms | Tot: 25s766ms | Loss: 0.047 | Acc: 99.190% (6856/6912)              
 [===========================================>.....................] 28/40   Step: 957ms | Tot: 26s723ms | Loss: 0.046 | Acc: 99.177% (7109/7168)              
 [=============================================>...................] 29/40   Step: 960ms | Tot: 27s684ms | Loss: 0.046 | Acc: 99.205% (7365/7424)              
 [===============================================>.................] 30/40   Step: 959ms | Tot: 28s643ms | Loss: 0.046 | Acc: 99.206% (7619/7680)              
 [================================================>................] 31/40   Step: 1s69ms | Tot: 29s712ms | Loss: 0.046 | Acc: 99.206% (7873/7936)              
 [==================================================>..............] 32/40   Step: 957ms | Tot: 30s670ms | Loss: 0.046 | Acc: 99.207% (8127/8192)              
 [====================================================>............] 33/40   Step: 962ms | Tot: 31s633ms | Loss: 0.046 | Acc: 99.207% (8381/8448)              
 [=====================================================>...........] 34/40   Step: 968ms | Tot: 32s602ms | Loss: 0.046 | Acc: 99.207% (8635/8704)              
 [=======================================================>.........] 35/40   Step: 972ms | Tot: 33s574ms | Loss: 0.047 | Acc: 99.196% (8888/8960)              
 [========================================================>........] 36/40   Step: 970ms | Tot: 34s545ms | Loss: 0.047 | Acc: 99.186% (9141/9216)              
 [==========================================================>......] 37/40   Step: 847ms | Tot: 35s393ms | Loss: 0.047 | Acc: 99.198% (9396/9472)              
 [============================================================>....] 38/40   Step: 850ms | Tot: 36s243ms | Loss: 0.047 | Acc: 99.208% (9651/9728)              
 [=============================================================>...] 39/40   Step: 849ms | Tot: 37s93ms | Loss: 0.046 | Acc: 99.229% (9907/9984)              
 [===============================================================>.] 40/40   Step: 898ms | Tot: 37s992ms | Loss: 0.049 | Acc: 99.150% (9915/10000)
 [>................................................................] 1/40   Step: 1s280ms | Tot: 0ms | Loss: 2.041 | Acc: 59.375% (152/256)              
 [=>...............................................................] 2/40   Step: 412ms | Tot: 412ms | Loss: 2.037 | Acc: 60.156% (308/512)              
 [===>.............................................................] 3/40   Step: 413ms | Tot: 826ms | Loss: 2.073 | Acc: 58.984% (453/768)              
 [====>............................................................] 4/40   Step: 412ms | Tot: 1s238ms | Loss: 2.052 | Acc: 58.789% (602/1024)              
 [======>..........................................................] 5/40   Step: 412ms | Tot: 1s651ms | Loss: 2.086 | Acc: 58.828% (753/1280)              
 [========>........................................................] 6/40   Step: 521ms | Tot: 2s173ms | Loss: 2.092 | Acc: 58.724% (902/1536)              
 [=========>.......................................................] 7/40   Step: 413ms | Tot: 2s586ms | Loss: 2.141 | Acc: 57.868% (1037/1792)              
 [===========>.....................................................] 8/40   Step: 413ms | Tot: 2s999ms | Loss: 2.157 | Acc: 57.861% (1185/2048)              
 [=============>...................................................] 9/40   Step: 431ms | Tot: 3s431ms | Loss: 2.151 | Acc: 57.899% (1334/2304)              
 [==============>..................................................] 10/40   Step: 423ms | Tot: 3s855ms | Loss: 2.136 | Acc: 58.242% (1491/2560)              
 [================>................................................] 11/40   Step: 414ms | Tot: 4s270ms | Loss: 2.124 | Acc: 58.629% (1651/2816)              
 [=================>...............................................] 12/40   Step: 519ms | Tot: 4s789ms | Loss: 2.106 | Acc: 58.822% (1807/3072)              
 [===================>.............................................] 13/40   Step: 413ms | Tot: 5s203ms | Loss: 2.095 | Acc: 58.984% (1963/3328)              
 [=====================>...........................................] 14/40   Step: 411ms | Tot: 5s615ms | Loss: 2.118 | Acc: 58.594% (2100/3584)              
 [======================>..........................................] 15/40   Step: 413ms | Tot: 6s29ms | Loss: 2.104 | Acc: 58.880% (2261/3840)              
 [========================>........................................] 16/40   Step: 412ms | Tot: 6s441ms | Loss: 2.123 | Acc: 58.618% (2401/4096)              
 [==========================>......................................] 17/40   Step: 521ms | Tot: 6s962ms | Loss: 2.131 | Acc: 58.387% (2541/4352)              
 [===========================>.....................................] 18/40   Step: 411ms | Tot: 7s373ms | Loss: 2.143 | Acc: 58.181% (2681/4608)              
 [=============================>...................................] 19/40   Step: 412ms | Tot: 7s786ms | Loss: 2.156 | Acc: 58.121% (2827/4864)              
 [==============================>..................................] 20/40   Step: 413ms | Tot: 8s199ms | Loss: 2.148 | Acc: 58.125% (2976/5120)              
 [================================>................................] 21/40   Step: 413ms | Tot: 8s613ms | Loss: 2.150 | Acc: 58.147% (3126/5376)              
 [==================================>..............................] 22/40   Step: 413ms | Tot: 9s26ms | Loss: 2.154 | Acc: 58.114% (3273/5632)              
 [===================================>.............................] 23/40   Step: 518ms | Tot: 9s544ms | Loss: 2.167 | Acc: 57.914% (3410/5888)              
 [=====================================>...........................] 24/40   Step: 413ms | Tot: 9s958ms | Loss: 2.186 | Acc: 57.764% (3549/6144)              
 [=======================================>.........................] 25/40   Step: 411ms | Tot: 10s369ms | Loss: 2.184 | Acc: 57.828% (3701/6400)              
 [========================================>........................] 26/40   Step: 413ms | Tot: 10s783ms | Loss: 2.178 | Acc: 57.858% (3851/6656)              
 [==========================================>......................] 27/40   Step: 416ms | Tot: 11s199ms | Loss: 2.188 | Acc: 57.755% (3992/6912)              
 [===========================================>.....................] 28/40   Step: 521ms | Tot: 11s721ms | Loss: 2.178 | Acc: 57.868% (4148/7168)              
 [=============================================>...................] 29/40   Step: 413ms | Tot: 12s134ms | Loss: 2.179 | Acc: 57.839% (4294/7424)              
 [===============================================>.................] 30/40   Step: 411ms | Tot: 12s546ms | Loss: 2.174 | Acc: 57.969% (4452/7680)              
 [================================================>................] 31/40   Step: 411ms | Tot: 12s958ms | Loss: 2.185 | Acc: 57.838% (4590/7936)              
 [==================================================>..............] 32/40   Step: 415ms | Tot: 13s373ms | Loss: 2.183 | Acc: 57.751% (4731/8192)              
 [====================================================>............] 33/40   Step: 422ms | Tot: 13s796ms | Loss: 2.187 | Acc: 57.670% (4872/8448)              
 [=====================================================>...........] 34/40   Step: 517ms | Tot: 14s314ms | Loss: 2.197 | Acc: 57.537% (5008/8704)              
 [=======================================================>.........] 35/40   Step: 410ms | Tot: 14s725ms | Loss: 2.197 | Acc: 57.545% (5156/8960)              
 [========================================================>........] 36/40   Step: 373ms | Tot: 15s98ms | Loss: 2.192 | Acc: 57.563% (5305/9216)              
 [==========================================================>......] 37/40   Step: 367ms | Tot: 15s466ms | Loss: 2.191 | Acc: 57.485% (5445/9472)              
 [============================================================>....] 38/40   Step: 368ms | Tot: 15s835ms | Loss: 2.182 | Acc: 57.648% (5608/9728)              
 [=============================================================>...] 39/40   Step: 477ms | Tot: 16s312ms | Loss: 2.176 | Acc: 57.652% (5756/9984)              
 [===============================================================>.] 40/40   Step: 369ms | Tot: 16s682ms | Loss: 2.176 | Acc: 57.680% (5768/10000)

Epoch: 2
 [>................................................................] 1/40   Step: 1s946ms | Tot: 0ms | Loss: 0.026 | Acc: 100.000% (256/256)              
 [=>...............................................................] 2/40   Step: 963ms | Tot: 963ms | Loss: 0.030 | Acc: 99.805% (511/512)              
 [===>.............................................................] 3/40   Step: 966ms | Tot: 1s929ms | Loss: 0.030 | Acc: 99.609% (765/768)              
 [====>............................................................] 4/40   Step: 1s124ms | Tot: 3s54ms | Loss: 0.034 | Acc: 99.609% (1020/1024)              
 [======>..........................................................] 5/40   Step: 960ms | Tot: 4s14ms | Loss: 0.034 | Acc: 99.531% (1274/1280)              
 [========>........................................................] 6/40   Step: 982ms | Tot: 4s997ms | Loss: 0.034 | Acc: 99.479% (1528/1536)              
 [=========>.......................................................] 7/40   Step: 958ms | Tot: 5s955ms | Loss: 0.034 | Acc: 99.498% (1783/1792)              
 [===========>.....................................................] 8/40   Step: 959ms | Tot: 6s915ms | Loss: 0.035 | Acc: 99.512% (2038/2048)              
 [=============>...................................................] 9/40   Step: 1s69ms | Tot: 7s984ms | Loss: 0.034 | Acc: 99.479% (2292/2304)              
 [==============>..................................................] 10/40   Step: 962ms | Tot: 8s947ms | Loss: 0.034 | Acc: 99.453% (2546/2560)              
 [================>................................................] 11/40   Step: 958ms | Tot: 9s905ms | Loss: 0.037 | Acc: 99.396% (2799/2816)              
 [=================>...............................................] 12/40   Step: 956ms | Tot: 10s862ms | Loss: 0.037 | Acc: 99.382% (3053/3072)              
 [===================>.............................................] 13/40   Step: 958ms | Tot: 11s821ms | Loss: 0.038 | Acc: 99.339% (3306/3328)              
 [=====================>...........................................] 14/40   Step: 1s92ms | Tot: 12s913ms | Loss: 0.038 | Acc: 99.358% (3561/3584)              
 [======================>..........................................] 15/40   Step: 963ms | Tot: 13s877ms | Loss: 0.038 | Acc: 99.323% (3814/3840)              
 [========================>........................................] 16/40   Step: 968ms | Tot: 14s846ms | Loss: 0.037 | Acc: 99.365% (4070/4096)              
 [==========================>......................................] 17/40   Step: 959ms | Tot: 15s805ms | Loss: 0.037 | Acc: 99.380% (4325/4352)              
 [===========================>.....................................] 18/40   Step: 1s77ms | Tot: 16s882ms | Loss: 0.038 | Acc: 99.371% (4579/4608)              
 [=============================>...................................] 19/40   Step: 955ms | Tot: 17s838ms | Loss: 0.038 | Acc: 99.342% (4832/4864)              
 [==============================>..................................] 20/40   Step: 958ms | Tot: 18s797ms | Loss: 0.038 | Acc: 99.355% (5087/5120)              
 [================================>................................] 21/40   Step: 953ms | Tot: 19s751ms | Loss: 0.038 | Acc: 99.368% (5342/5376)              
 [==================================>..............................] 22/40   Step: 960ms | Tot: 20s711ms | Loss: 0.038 | Acc: 99.396% (5598/5632)              
 [===================================>.............................] 23/40   Step: 1s62ms | Tot: 21s774ms | Loss: 0.039 | Acc: 99.355% (5850/5888)              
