cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Start to select 5439 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [===================================>.............................] 13/22   Step: 1s87ms | Tot: 12s124ms | Loss: 0.402 | Acc: 87.800% (2922/3328)              
 [======================================>..........................] 14/22   Step: 975ms | Tot: 13s100ms | Loss: 0.406 | Acc: 87.612% (3140/3584)              
 [=========================================>.......................] 15/22   Step: 973ms | Tot: 14s74ms | Loss: 0.402 | Acc: 87.839% (3373/3840)              
 [============================================>....................] 16/22   Step: 983ms | Tot: 15s57ms | Loss: 0.398 | Acc: 87.842% (3598/4096)              
 [===============================================>.................] 17/22   Step: 1s68ms | Tot: 16s125ms | Loss: 0.397 | Acc: 87.937% (3827/4352)              
 [==================================================>..............] 18/22   Step: 891ms | Tot: 17s17ms | Loss: 0.402 | Acc: 87.695% (4041/4608)              
 [=====================================================>...........] 19/22   Step: 858ms | Tot: 17s876ms | Loss: 0.396 | Acc: 87.808% (4271/4864)              
 [========================================================>........] 20/22   Step: 857ms | Tot: 18s734ms | Loss: 0.390 | Acc: 87.930% (4502/5120)              
 [===========================================================>.....] 21/22   Step: 858ms | Tot: 19s593ms | Loss: 0.389 | Acc: 88.002% (4731/5376)              
 [==============================================================>..] 22/22   Step: 1s16ms | Tot: 20s609ms | Loss: 0.391 | Acc: 87.939% (4783/5439)
 [>................................................................] 1/40   Step: 1s147ms | Tot: 0ms | Loss: 0.558 | Acc: 85.156% (218/256)              
 [=>...............................................................] 2/40   Step: 421ms | Tot: 421ms | Loss: 0.624 | Acc: 83.594% (428/512)              
 [===>.............................................................] 3/40   Step: 417ms | Tot: 839ms | Loss: 0.612 | Acc: 83.203% (639/768)              
 [====>............................................................] 4/40   Step: 416ms | Tot: 1s255ms | Loss: 0.604 | Acc: 83.008% (850/1024)              
 [======>..........................................................] 5/40   Step: 415ms | Tot: 1s671ms | Loss: 0.559 | Acc: 84.453% (1081/1280)              
 [========>........................................................] 6/40   Step: 581ms | Tot: 2s252ms | Loss: 0.582 | Acc: 83.659% (1285/1536)              
 [=========>.......................................................] 7/40   Step: 412ms | Tot: 2s665ms | Loss: 0.573 | Acc: 83.929% (1504/1792)              
 [===========>.....................................................] 8/40   Step: 418ms | Tot: 3s84ms | Loss: 0.576 | Acc: 84.082% (1722/2048)              
 [=============>...................................................] 9/40   Step: 425ms | Tot: 3s509ms | Loss: 0.586 | Acc: 83.767% (1930/2304)              
 [==============>..................................................] 10/40   Step: 411ms | Tot: 3s921ms | Loss: 0.581 | Acc: 83.828% (2146/2560)              
 [================>................................................] 11/40   Step: 411ms | Tot: 4s333ms | Loss: 0.585 | Acc: 83.913% (2363/2816)              
 [=================>...............................................] 12/40   Step: 414ms | Tot: 4s747ms | Loss: 0.597 | Acc: 83.561% (2567/3072)              
 [===================>.............................................] 13/40   Step: 520ms | Tot: 5s268ms | Loss: 0.599 | Acc: 83.293% (2772/3328)              
 [=====================>...........................................] 14/40   Step: 414ms | Tot: 5s683ms | Loss: 0.589 | Acc: 83.538% (2994/3584)              
 [======================>..........................................] 15/40   Step: 412ms | Tot: 6s95ms | Loss: 0.590 | Acc: 83.385% (3202/3840)              
 [========================>........................................] 16/40   Step: 412ms | Tot: 6s508ms | Loss: 0.598 | Acc: 83.252% (3410/4096)              
 [==========================>......................................] 17/40   Step: 414ms | Tot: 6s922ms | Loss: 0.607 | Acc: 83.111% (3617/4352)              
 [===========================>.....................................] 18/40   Step: 413ms | Tot: 7s336ms | Loss: 0.613 | Acc: 82.856% (3818/4608)              
 [=============================>...................................] 19/40   Step: 412ms | Tot: 7s748ms | Loss: 0.613 | Acc: 82.915% (4033/4864)              
 [==============================>..................................] 20/40   Step: 521ms | Tot: 8s269ms | Loss: 0.614 | Acc: 82.910% (4245/5120)              
 [================================>................................] 21/40   Step: 413ms | Tot: 8s682ms | Loss: 0.608 | Acc: 83.054% (4465/5376)              
 [==================================>..............................] 22/40   Step: 416ms | Tot: 9s99ms | Loss: 0.610 | Acc: 82.955% (4672/5632)              
 [===================================>.............................] 23/40   Step: 412ms | Tot: 9s511ms | Loss: 0.614 | Acc: 82.914% (4882/5888)              
 [=====================================>...........................] 24/40   Step: 412ms | Tot: 9s924ms | Loss: 0.608 | Acc: 82.975% (5098/6144)              
 [=======================================>.........................] 25/40   Step: 423ms | Tot: 10s348ms | Loss: 0.613 | Acc: 82.844% (5302/6400)              
 [========================================>........................] 26/40   Step: 416ms | Tot: 10s764ms | Loss: 0.620 | Acc: 82.752% (5508/6656)              
 [==========================================>......................] 27/40   Step: 521ms | Tot: 11s286ms | Loss: 0.620 | Acc: 82.784% (5722/6912)              
 [===========================================>.....................] 28/40   Step: 417ms | Tot: 11s703ms | Loss: 0.622 | Acc: 82.729% (5930/7168)              
 [=============================================>...................] 29/40   Step: 411ms | Tot: 12s115ms | Loss: 0.628 | Acc: 82.637% (6135/7424)              
 [===============================================>.................] 30/40   Step: 411ms | Tot: 12s526ms | Loss: 0.623 | Acc: 82.760% (6356/7680)              
 [================================================>................] 31/40   Step: 412ms | Tot: 12s939ms | Loss: 0.621 | Acc: 82.787% (6570/7936)              
 [==================================================>..............] 32/40   Step: 431ms | Tot: 13s371ms | Loss: 0.620 | Acc: 82.849% (6787/8192)              
 [====================================================>............] 33/40   Step: 412ms | Tot: 13s784ms | Loss: 0.619 | Acc: 82.884% (7002/8448)              
 [=====================================================>...........] 34/40   Step: 520ms | Tot: 14s304ms | Loss: 0.615 | Acc: 82.962% (7221/8704)              
 [=======================================================>.........] 35/40   Step: 412ms | Tot: 14s716ms | Loss: 0.618 | Acc: 82.879% (7426/8960)              
 [========================================================>........] 36/40   Step: 376ms | Tot: 15s93ms | Loss: 0.622 | Acc: 82.812% (7632/9216)              
 [==========================================================>......] 37/40   Step: 369ms | Tot: 15s463ms | Loss: 0.621 | Acc: 82.865% (7849/9472)              
 [============================================================>....] 38/40   Step: 369ms | Tot: 15s832ms | Loss: 0.620 | Acc: 82.864% (8061/9728)              
 [=============================================================>...] 39/40   Step: 369ms | Tot: 16s202ms | Loss: 0.621 | Acc: 82.792% (8266/9984)              
 [===============================================================>.] 40/40   Step: 369ms | Tot: 16s571ms | Loss: 0.622 | Acc: 82.790% (8279/10000)
Saving with better validation accuracy model: 82.790..

Epoch: 2
 [>................................................................] 1/22   Step: 2s136ms | Tot: 0ms | Loss: 0.318 | Acc: 91.797% (235/256)              
 [==>..............................................................] 2/22   Step: 977ms | Tot: 977ms | Loss: 0.336 | Acc: 90.820% (465/512)              
 [=====>...........................................................] 3/22   Step: 976ms | Tot: 1s954ms | Loss: 0.353 | Acc: 89.714% (689/768)              
 [========>........................................................] 4/22   Step: 996ms | Tot: 2s950ms | Loss: 0.333 | Acc: 89.941% (921/1024)              
 [===========>.....................................................] 5/22   Step: 1s72ms | Tot: 4s22ms | Loss: 0.328 | Acc: 90.000% (1152/1280)              
 [==============>..................................................] 6/22   Step: 993ms | Tot: 5s16ms | Loss: 0.320 | Acc: 89.974% (1382/1536)              
 [=================>...............................................] 7/22   Step: 972ms | Tot: 5s988ms | Loss: 0.333 | Acc: 89.453% (1603/1792)              
 [====================>............................................] 8/22   Step: 978ms | Tot: 6s966ms | Loss: 0.336 | Acc: 89.404% (1831/2048)              
 [=======================>.........................................] 9/22   Step: 970ms | Tot: 7s937ms | Loss: 0.336 | Acc: 89.280% (2057/2304)              
 [==========================>......................................] 10/22   Step: 1s105ms | Tot: 9s42ms | Loss: 0.337 | Acc: 89.336% (2287/2560)              
 [=============================>...................................] 11/22   Step: 967ms | Tot: 10s10ms | Loss: 0.332 | Acc: 89.524% (2521/2816)              
 [================================>................................] 12/22   Step: 970ms | Tot: 10s980ms | Loss: 0.330 | Acc: 89.551% (2751/3072)              
 [===================================>.............................] 13/22   Step: 977ms | Tot: 11s957ms | Loss: 0.332 | Acc: 89.543% (2980/3328)              
 [======================================>..........................] 14/22   Step: 981ms | Tot: 12s939ms | Loss: 0.332 | Acc: 89.565% (3210/3584)              
 [=========================================>.......................] 15/22   Step: 1s83ms | Tot: 14s23ms | Loss: 0.324 | Acc: 89.661% (3443/3840)              
 [============================================>....................] 16/22   Step: 987ms | Tot: 15s11ms | Loss: 0.325 | Acc: 89.526% (3667/4096)              
 [===============================================>.................] 17/22   Step: 965ms | Tot: 15s977ms | Loss: 0.322 | Acc: 89.637% (3901/4352)              
 [==================================================>..............] 18/22   Step: 891ms | Tot: 16s868ms | Loss: 0.319 | Acc: 89.692% (4133/4608)              
 [=====================================================>...........] 19/22   Step: 964ms | Tot: 17s832ms | Loss: 0.322 | Acc: 89.576% (4357/4864)              
 [========================================================>........] 20/22   Step: 854ms | Tot: 18s687ms | Loss: 0.329 | Acc: 89.238% (4569/5120)              
