cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the im wcl selected dataset.
------------------ Start to select subsets ------------------
Select 38000 samples
Load selected sample idx
Selected 38000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/149   Step: 1m36s | Tot: 0ms | Loss: 0.131 | Acc: 96.094% (246/256)              
 [>................................................................] 2/149   Step: 1s962ms | Tot: 1s962ms | Loss: 0.132 | Acc: 95.703% (490/512)              
 [>................................................................] 3/149   Step: 959ms | Tot: 2s921ms | Loss: 0.141 | Acc: 95.703% (735/768)              
 [=>...............................................................] 4/149   Step: 1s124ms | Tot: 4s46ms | Loss: 0.140 | Acc: 95.996% (983/1024)              
 [=>...............................................................] 5/149   Step: 946ms | Tot: 4s992ms | Loss: 0.137 | Acc: 95.938% (1228/1280)              
 [==>..............................................................] 6/149   Step: 950ms | Tot: 5s943ms | Loss: 0.129 | Acc: 96.029% (1475/1536)              
 [==>..............................................................] 7/149   Step: 948ms | Tot: 6s892ms | Loss: 0.128 | Acc: 95.926% (1719/1792)              
 [===>.............................................................] 8/149   Step: 951ms | Tot: 7s843ms | Loss: 0.126 | Acc: 95.947% (1965/2048)              
 [===>.............................................................] 9/149   Step: 1s72ms | Tot: 8s915ms | Loss: 0.128 | Acc: 95.964% (2211/2304)              
 [===>.............................................................] 10/149   Step: 949ms | Tot: 9s864ms | Loss: 0.126 | Acc: 96.133% (2461/2560)              
 [====>............................................................] 11/149   Step: 944ms | Tot: 10s809ms | Loss: 0.124 | Acc: 96.200% (2709/2816)              
 [====>............................................................] 12/149   Step: 944ms | Tot: 11s754ms | Loss: 0.122 | Acc: 96.224% (2956/3072)              
 [=====>...........................................................] 13/149   Step: 1s50ms | Tot: 12s804ms | Loss: 0.120 | Acc: 96.274% (3204/3328)              
 [=====>...........................................................] 14/149   Step: 944ms | Tot: 13s749ms | Loss: 0.120 | Acc: 96.094% (3444/3584)              
 [======>..........................................................] 15/149   Step: 950ms | Tot: 14s700ms | Loss: 0.119 | Acc: 96.120% (3691/3840)              
 [============================================>....................] 102/149   Step: 1s50ms | Tot: 1m39s | Loss: 0.074 | Acc: 97.706% (25513/26112)              
 [============================================>....................] 103/149   Step: 942ms | Tot: 1m40s | Loss: 0.074 | Acc: 97.725% (25768/26368)              
 [============================================>....................] 104/149   Step: 942ms | Tot: 1m41s | Loss: 0.074 | Acc: 97.728% (26019/26624)              
 [=============================================>...................] 105/149   Step: 955ms | Tot: 1m42s | Loss: 0.073 | Acc: 97.742% (26273/26880)              
 [=============================================>...................] 106/149   Step: 945ms | Tot: 1m43s | Loss: 0.073 | Acc: 97.752% (26526/27136)              
 [==============================================>..................] 107/149   Step: 1s56ms | Tot: 1m44s | Loss: 0.073 | Acc: 97.758% (26778/27392)              
 [==============================================>..................] 108/149   Step: 945ms | Tot: 1m45s | Loss: 0.072 | Acc: 97.765% (27030/27648)              
 [===============================================>.................] 109/149   Step: 941ms | Tot: 1m46s | Loss: 0.072 | Acc: 97.767% (27281/27904)              
 [===============================================>.................] 110/149   Step: 953ms | Tot: 1m47s | Loss: 0.072 | Acc: 97.784% (27536/28160)              
 [===============================================>.................] 111/149   Step: 1s81ms | Tot: 1m48s | Loss: 0.072 | Acc: 97.793% (27789/28416)              
 [================================================>................] 112/149   Step: 949ms | Tot: 1m49s | Loss: 0.072 | Acc: 97.792% (28039/28672)              
 [================================================>................] 113/149   Step: 941ms | Tot: 1m50s | Loss: 0.072 | Acc: 97.798% (28291/28928)              
 [=================================================>...............] 114/149   Step: 945ms | Tot: 1m51s | Loss: 0.071 | Acc: 97.810% (28545/29184)              
 [=================================================>...............] 115/149   Step: 944ms | Tot: 1m51s | Loss: 0.071 | Acc: 97.816% (28797/29440)              
 [==================================================>..............] 116/149   Step: 1s74ms | Tot: 1m53s | Loss: 0.071 | Acc: 97.828% (29051/29696)              
 [==================================================>..............] 117/149   Step: 946ms | Tot: 1m54s | Loss: 0.071 | Acc: 97.830% (29302/29952)              
 [===================================================>.............] 118/149   Step: 944ms | Tot: 1m54s | Loss: 0.070 | Acc: 97.838% (29555/30208)              
 [===================================================>.............] 119/149   Step: 942ms | Tot: 1m55s | Loss: 0.070 | Acc: 97.840% (29806/30464)              
 [===================================================>.............] 120/149   Step: 1s64ms | Tot: 1m56s | Loss: 0.070 | Acc: 97.848% (30059/30720)              
 [====================================================>............] 121/149   Step: 945ms | Tot: 1m57s | Loss: 0.070 | Acc: 97.853% (30311/30976)              
 [====================================================>............] 122/149   Step: 962ms | Tot: 1m58s | Loss: 0.070 | Acc: 97.858% (30563/31232)              
