cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Start to select 14546 samples for a fair comparison.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/57   Step: 39s700ms | Tot: 0ms | Loss: 2.324 | Acc: 11.328% (29/256)              
 [=>...............................................................] 2/57   Step: 2s62ms | Tot: 2s62ms | Loss: 2.327 | Acc: 13.281% (68/512)              
 [==>..............................................................] 3/57   Step: 977ms | Tot: 3s40ms | Loss: 2.325 | Acc: 14.714% (113/768)              
 [===>.............................................................] 4/57   Step: 1s169ms | Tot: 4s209ms | Loss: 2.281 | Acc: 15.527% (159/1024)              
 [====>............................................................] 5/57   Step: 969ms | Tot: 5s178ms | Loss: 2.242 | Acc: 16.953% (217/1280)              
 [=====>...........................................................] 6/57   Step: 971ms | Tot: 6s149ms | Loss: 2.201 | Acc: 19.466% (299/1536)              
 [======>..........................................................] 7/57   Step: 961ms | Tot: 7s111ms | Loss: 2.184 | Acc: 20.089% (360/1792)              
 [=======>.........................................................] 8/57   Step: 961ms | Tot: 8s72ms | Loss: 2.202 | Acc: 20.312% (416/2048)              
 [=========>.......................................................] 9/57   Step: 1s75ms | Tot: 9s148ms | Loss: 2.177 | Acc: 21.224% (489/2304)              
 [==========>......................................................] 10/57   Step: 966ms | Tot: 10s115ms | Loss: 2.172 | Acc: 21.641% (554/2560)              
 [===========>.....................................................] 11/57   Step: 967ms | Tot: 11s82ms | Loss: 2.148 | Acc: 22.372% (630/2816)              
 [============>....................................................] 12/57   Step: 962ms | Tot: 12s45ms | Loss: 2.155 | Acc: 22.363% (687/3072)              
 [========================>........................................] 16/40   Step: 423ms | Tot: 6s752ms | Loss: 1.994 | Acc: 31.616% (1295/4096)              
 [==========================>......................................] 17/40   Step: 431ms | Tot: 7s183ms | Loss: 1.984 | Acc: 31.916% (1389/4352)              
 [===========================>.....................................] 18/40   Step: 418ms | Tot: 7s602ms | Loss: 1.986 | Acc: 32.096% (1479/4608)              
 [=============================>...................................] 19/40   Step: 416ms | Tot: 8s18ms | Loss: 1.986 | Acc: 32.113% (1562/4864)              
 [==============================>..................................] 20/40   Step: 519ms | Tot: 8s538ms | Loss: 1.975 | Acc: 32.441% (1661/5120)              
 [================================>................................] 21/40   Step: 420ms | Tot: 8s958ms | Loss: 1.978 | Acc: 32.552% (1750/5376)              
 [==================================>..............................] 22/40   Step: 425ms | Tot: 9s383ms | Loss: 1.977 | Acc: 32.564% (1834/5632)              
 [===================================>.............................] 23/40   Step: 424ms | Tot: 9s808ms | Loss: 1.985 | Acc: 32.490% (1913/5888)              
 [=====================================>...........................] 24/40   Step: 419ms | Tot: 10s228ms | Loss: 1.990 | Acc: 32.422% (1992/6144)              
 [=======================================>.........................] 25/40   Step: 525ms | Tot: 10s753ms | Loss: 1.988 | Acc: 32.375% (2072/6400)              
 [========================================>........................] 26/40   Step: 419ms | Tot: 11s173ms | Loss: 1.988 | Acc: 32.392% (2156/6656)              
 [==========================================>......................] 27/40   Step: 425ms | Tot: 11s599ms | Loss: 1.986 | Acc: 32.610% (2254/6912)              
 [===========================================>.....................] 28/40   Step: 427ms | Tot: 12s27ms | Loss: 1.990 | Acc: 32.492% (2329/7168)              
 [=============================================>...................] 29/40   Step: 418ms | Tot: 12s446ms | Loss: 1.992 | Acc: 32.314% (2399/7424)              
 [===============================================>.................] 30/40   Step: 419ms | Tot: 12s865ms | Loss: 1.991 | Acc: 32.344% (2484/7680)              
 [================================================>................] 31/40   Step: 544ms | Tot: 13s410ms | Loss: 1.985 | Acc: 32.371% (2569/7936)              
 [==================================================>..............] 32/40   Step: 412ms | Tot: 13s822ms | Loss: 1.986 | Acc: 32.275% (2644/8192)              
 [====================================================>............] 33/40   Step: 421ms | Tot: 14s243ms | Loss: 1.983 | Acc: 32.327% (2731/8448)              
 [=====================================================>...........] 34/40   Step: 412ms | Tot: 14s656ms | Loss: 1.981 | Acc: 32.295% (2811/8704)              
 [=======================================================>.........] 35/40   Step: 413ms | Tot: 15s69ms | Loss: 1.987 | Acc: 32.087% (2875/8960)              
 [========================================================>........] 36/40   Step: 482ms | Tot: 15s551ms | Loss: 1.989 | Acc: 32.075% (2956/9216)              
 [==========================================================>......] 37/40   Step: 373ms | Tot: 15s924ms | Loss: 1.988 | Acc: 32.084% (3039/9472)              
 [============================================================>....] 38/40   Step: 368ms | Tot: 16s293ms | Loss: 1.988 | Acc: 32.113% (3124/9728)              
 [=============================================================>...] 39/40   Step: 372ms | Tot: 16s665ms | Loss: 1.989 | Acc: 32.111% (3206/9984)              
 [===============================================================>.] 40/40   Step: 2s318ms | Tot: 18s984ms | Loss: 1.989 | Acc: 32.110% (3211/10000)
Saving with better validation accuracy model: 32.110..

Epoch: 1
 [>................................................................] 1/57   Step: 3s110ms | Tot: 0ms | Loss: 1.483 | Acc: 45.312% (116/256)              
 [=>...............................................................] 2/57   Step: 970ms | Tot: 970ms | Loss: 1.601 | Acc: 39.258% (201/512)              
 [==>..............................................................] 3/57   Step: 969ms | Tot: 1s940ms | Loss: 1.628 | Acc: 38.281% (294/768)              
 [===>.............................................................] 4/57   Step: 963ms | Tot: 2s903ms | Loss: 1.591 | Acc: 40.039% (410/1024)              
 [====>............................................................] 5/57   Step: 967ms | Tot: 3s870ms | Loss: 1.650 | Acc: 38.750% (496/1280)              
 [=====>...........................................................] 6/57   Step: 1s78ms | Tot: 4s949ms | Loss: 1.646 | Acc: 39.844% (612/1536)              
 [======>..........................................................] 7/57   Step: 972ms | Tot: 5s921ms | Loss: 1.626 | Acc: 40.402% (724/1792)              
 [=======>.........................................................] 8/57   Step: 961ms | Tot: 6s883ms | Loss: 1.611 | Acc: 41.162% (843/2048)              
 [=========>.......................................................] 9/57   Step: 963ms | Tot: 7s846ms | Loss: 1.597 | Acc: 41.710% (961/2304)              
 [==========>......................................................] 10/57   Step: 954ms | Tot: 8s801ms | Loss: 1.582 | Acc: 42.031% (1076/2560)              
 [===========>.....................................................] 11/57   Step: 1s83ms | Tot: 9s885ms | Loss: 1.569 | Acc: 42.614% (1200/2816)              
 [============>....................................................] 12/57   Step: 968ms | Tot: 10s853ms | Loss: 1.571 | Acc: 42.741% (1313/3072)              
 [=============>...................................................] 13/57   Step: 955ms | Tot: 11s809ms | Loss: 1.565 | Acc: 42.758% (1423/3328)              
 [==============>..................................................] 14/57   Step: 966ms | Tot: 12s775ms | Loss: 1.561 | Acc: 42.913% (1538/3584)              
 [===============>.................................................] 15/57   Step: 1s58ms | Tot: 13s833ms | Loss: 1.552 | Acc: 43.099% (1655/3840)              
 [=================>...............................................] 16/57   Step: 953ms | Tot: 14s787ms | Loss: 1.558 | Acc: 42.920% (1758/4096)              
 [==================>..............................................] 17/57   Step: 953ms | Tot: 15s740ms | Loss: 1.559 | Acc: 42.923% (1868/4352)              
 [===================>.............................................] 18/57   Step: 953ms | Tot: 16s693ms | Loss: 1.556 | Acc: 43.012% (1982/4608)              
 [====================>............................................] 19/57   Step: 952ms | Tot: 17s646ms | Loss: 1.552 | Acc: 43.215% (2102/4864)              
 [=====================>...........................................] 20/57   Step: 1s48ms | Tot: 18s694ms | Loss: 1.542 | Acc: 43.438% (2224/5120)              
 [======================>..........................................] 21/57   Step: 958ms | Tot: 19s652ms | Loss: 1.539 | Acc: 43.564% (2342/5376)              
 [=======================>.........................................] 22/57   Step: 954ms | Tot: 20s607ms | Loss: 1.533 | Acc: 43.661% (2459/5632)              
 [=========================>.......................................] 23/57   Step: 948ms | Tot: 21s556ms | Loss: 1.533 | Acc: 43.631% (2569/5888)              
 [==========================>......................................] 24/57   Step: 1s60ms | Tot: 22s617ms | Loss: 1.532 | Acc: 43.506% (2673/6144)              
 [===========================>.....................................] 25/57   Step: 953ms | Tot: 23s570ms | Loss: 1.531 | Acc: 43.578% (2789/6400)              
 [============================>....................................] 26/57   Step: 951ms | Tot: 24s521ms | Loss: 1.530 | Acc: 43.555% (2899/6656)              
 [=============================>...................................] 27/57   Step: 959ms | Tot: 25s481ms | Loss: 1.526 | Acc: 43.721% (3022/6912)              
 [==============================>..................................] 28/57   Step: 953ms | Tot: 26s434ms | Loss: 1.524 | Acc: 43.876% (3145/7168)              
 [===============================>.................................] 29/57   Step: 1s58ms | Tot: 27s492ms | Loss: 1.526 | Acc: 43.804% (3252/7424)              
 [=================================>...............................] 30/57   Step: 951ms | Tot: 28s444ms | Loss: 1.525 | Acc: 43.828% (3366/7680)              
 [==================================>..............................] 31/57   Step: 951ms | Tot: 29s395ms | Loss: 1.525 | Acc: 43.901% (3484/7936)              
 [===================================>.............................] 32/57   Step: 961ms | Tot: 30s357ms | Loss: 1.522 | Acc: 43.896% (3596/8192)              
 [====================================>............................] 33/57   Step: 955ms | Tot: 31s312ms | Loss: 1.521 | Acc: 43.987% (3716/8448)              
 [=====================================>...........................] 34/57   Step: 1s67ms | Tot: 32s379ms | Loss: 1.519 | Acc: 44.256% (3852/8704)              
 [======================================>..........................] 35/57   Step: 952ms | Tot: 33s331ms | Loss: 1.522 | Acc: 44.241% (3964/8960)              
 [=======================================>.........................] 36/57   Step: 948ms | Tot: 34s280ms | Loss: 1.522 | Acc: 44.184% (4072/9216)              
 [=========================================>.......................] 37/57   Step: 961ms | Tot: 35s241ms | Loss: 1.521 | Acc: 44.236% (4190/9472)              
 [==========================================>......................] 38/57   Step: 950ms | Tot: 36s192ms | Loss: 1.521 | Acc: 44.223% (4302/9728)              
 [===========================================>.....................] 39/57   Step: 1s58ms | Tot: 37s250ms | Loss: 1.519 | Acc: 44.331% (4426/9984)              
 [============================================>....................] 40/57   Step: 953ms | Tot: 38s203ms | Loss: 1.519 | Acc: 44.375% (4544/10240)              
 [=============================================>...................] 41/57   Step: 962ms | Tot: 39s166ms | Loss: 1.519 | Acc: 44.388% (4659/10496)              
 [==============================================>..................] 42/57   Step: 958ms | Tot: 40s125ms | Loss: 1.515 | Acc: 44.541% (4789/10752)              
 [===============================================>.................] 43/57   Step: 1s59ms | Tot: 41s184ms | Loss: 1.517 | Acc: 44.495% (4898/11008)              
